src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,attack,anomaly
3,59834,6,13,399,48,168,404,1,1
2,39424,9,2,196,84,1290,403,1,1
2,48582,9,2,257,84,1017,403,1,1
2,44696,7,14,300,84,1040,403,1,1
2,46538,9,2,411,7,301,400,1,1
3,53092,6,13,497,81,168,404,1,1
2,49664,9,2,427,37,301,400,1,1
2,46868,9,2,440,7,301,400,1,1
2,41530,9,2,157,84,1110,403,1,1
3,43964,10,3,834,59,339,404,1,1
2,42742,9,2,144,84,2656,403,1,1
2,45300,11,4,776,12,980,400,1,1
3,38624,11,4,822,50,980,400,1,1
3,36120,9,2,359,84,990,403,1,1
2,33386,11,4,711,84,1231,403,1,1
3,46650,11,4,651,84,1351,403,1,1
3,52370,10,3,856,84,1069,403,1,1
2,54542,6,13,88,84,168,404,1,1
2,55632,10,3,1003,58,305,404,1,1
3,44192,6,13,141,84,168,404,1,1
2,58634,9,2,402,25,301,400,1,1
3,36392,10,3,885,84,1075,403,1,1
2,43900,6,13,79,84,168,404,1,1
2,57870,11,4,621,84,956,403,1,1
2,48818,7,14,346,84,1028,403,1,1
3,40604,11,4,756,21,980,400,1,1
3,52368,9,2,367,22,0,403,1,1
3,47196,10,3,975,50,307,404,1,1
3,49704,11,4,694,84,1470,403,1,1
3,34076,10,3,1020,2,303,404,1,1
3,34770,11,4,670,84,1077,403,1,1
3,39778,7,14,293,84,804,403,1,1
2,38900,21,14,60,84,1021,403,1,1
3,48018,9,2,519,17,301,400,1,1
2,44494,11,4,749,12,980,400,1,1
3,41534,9,2,302,84,1443,403,1,1
3,46220,11,4,631,84,1384,403,1,1
2,46298,6,13,529,79,172,400,1,1
3,51698,9,2,202,84,2362,403,1,1
2,59012,9,2,191,84,1440,403,1,1
2,41864,9,2,295,84,1913,403,1,1
2,47128,9,2,67,84,940,403,1,1
2,45624,11,4,758,12,980,400,1,1
3,37722,11,4,780,76,980,400,1,1
2,50806,21,14,344,84,863,403,1,1
2,56480,6,13,137,84,168,404,1,1
2,56110,10,3,933,84,1251,403,1,1
2,40600,6,13,523,80,168,404,1,1
3,53222,6,13,462,81,168,404,1,1
2,33708,11,4,612,84,1231,403,1,1
3,42116,6,13,600,3,168,404,1,1
2,35658,11,4,637,84,1099,403,1,1
3,47828,6,13,11,70,168,404,1,1
3,53660,10,3,989,4,306,404,1,1
2,58066,6,13,468,30,168,404,1,1
3,54124,6,13,469,81,168,404,1,1
2,48902,11,4,609,84,0,302,1,1
2,41630,6,13,339,84,168,404,1,1
2,35358,21,14,143,84,988,403,1,1
3,57676,10,3,970,2,308,404,1,1
3,56550,11,4,803,4,0,302,1,1
3,47576,10,3,985,74,306,404,1,1
3,59060,11,4,699,84,954,403,1,1
3,52774,9,2,92,84,879,403,1,1
2,59334,9,2,216,84,1947,403,1,1
3,44610,21,14,72,84,844,403,1,1
2,45282,7,14,548,19,0,400,1,1
3,40210,11,4,782,21,557,403,1,1
2,53096,9,2,59,84,980,403,1,1
3,38180,11,4,807,50,980,400,1,1
2,54334,7,14,223,84,1034,403,1,1
2,50636,6,13,34,84,168,404,1,1
2,50334,21,14,349,84,999,403,1,1
2,47664,6,13,73,84,168,404,1,1
3,40058,9,4,803,84,301,400,1,1
2,53094,6,13,289,84,168,404,1,1
3,48980,9,2,393,18,301,400,1,1
2,56418,7,14,13,84,903,403,1,1
3,36426,10,3,914,84,1353,403,1,1
2,52458,6,13,131,84,168,404,1,1
3,60260,6,13,416,24,0,403,1,1
2,52842,11,4,674,84,1609,403,1,1
2,53176,6,13,209,84,168,404,1,1
3,39326,10,3,947,84,844,403,1,1
3,39084,9,2,499,28,301,400,1,1
2,43606,11,4,779,24,980,400,1,1
3,37994,21,14,590,12,0,400,1,1
3,46406,10,3,908,84,1293,403,1,1
3,48058,9,2,595,17,301,400,1,1
2,49962,9,2,579,37,301,400,1,1
3,52008,7,14,465,0,0,400,1,1
3,56172,21,14,516,1,0,400,1,-1
3,58268,11,4,664,84,944,403,1,1
3,59608,11,4,798,85,559,403,1,1
2,44786,7,14,424,19,276,404,1,1
2,43890,6,13,66,84,168,404,1,1
3,47926,21,14,438,29,0,400,1,1
2,53804,10,3,874,84,888,403,1,1
2,53122,6,13,272,84,168,404,1,1
2,50142,10,3,848,84,1030,403,1,1
3,47954,9,2,281,84,1090,403,1,1
3,40094,7,14,492,77,0,400,1,1
3,40290,11,4,792,21,980,400,1,1
2,58128,10,3,925,84,935,403,1,1
3,45670,21,14,140,84,754,403,1,1
2,59896,10,3,1011,18,437,404,1,1
1,55138,12,5,833,16,1435,200,1,-1
3,57584,6,13,520,48,168,404,1,1
3,46792,21,14,337,84,837,403,1,1
3,39978,10,3,991,24,305,404,1,1
2,56966,9,2,176,84,1290,403,1,1
3,39272,10,3,1014,44,305,404,1,1
2,60154,10,3,886,84,1075,403,1,1
3,41124,21,14,313,84,1332,403,1,1
2,50112,10,3,898,84,1113,403,1,1
3,46114,10,3,879,84,1044,403,1,1
3,34720,21,14,565,63,275,404,1,1
2,42986,10,3,1018,17,307,404,1,1
3,47844,9,2,280,84,703,403,1,1
2,50700,9,2,17,84,831,403,1,1
2,43688,10,3,961,17,306,404,1,1
2,37560,7,14,81,84,682,403,1,1
1,53642,12,5,607,5,3271,200,1,-1
3,53908,21,14,547,0,0,400,1,1
2,51454,11,4,676,84,1294,403,1,1
3,59828,9,2,145,84,955,403,1,1
3,52882,9,2,501,52,301,400,1,1
3,38326,11,4,812,52,980,400,1,1
3,50746,10,3,835,63,378,404,1,1
3,51398,9,2,54,84,2747,403,1,1
2,48820,10,3,905,84,1066,403,1,1
2,51346,9,2,68,84,723,403,1,1
2,48690,9,2,401,72,301,400,1,1
2,45756,7,14,522,19,0,400,1,1
3,45758,7,14,268,84,803,403,1,1
